16:03:58.462 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //input[@id='email']
16:03:58.473 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //input[@id='email']
16:03:58.578 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.id: id_order
16:03:58.593 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.id: id_order
16:03:58.676 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.name: submitMessage
16:03:58.693 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.name: submitMessage
16:03:58.693 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> name: submitMessage]
16:04:00.064 [main] INFO  oct1_log4jframework.LogfileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> name: submitMessage]
16:04:00.064 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //li[contains(text(),'The message cannot be blank.')]
16:04:00.078 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //li[contains(text(),'The message cannot be blank.')]
16:04:00.096 [main] ERROR oct1_log4jframework.LogfileImpl - ContactUsTest003 failed due to the mismatch in the text
16:04:00.101 [main] ERROR oct1_log4jframework.LogfileImpl - Test Failed : ContactUsTest003
16:04:00.102 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:04:00.124 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:04:00.125 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
16:04:01.626 [main] INFO  oct1_log4jframework.LogfileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
16:04:05.460 [main] INFO  oct1_log4jframework.LogfileImpl - New Test Started : ContactUsTest004
16:04:05.460 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:04:05.493 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:04:05.493 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
16:04:06.547 [main] INFO  oct1_log4jframework.LogfileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
16:04:06.547 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //h1[contains(text(),'Customer service - Contact us')]
16:04:06.560 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //h1[contains(text(),'Customer service - Contact us')]
16:04:06.581 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //select[@id='id_contact']
16:04:06.591 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //select[@id='id_contact']
16:04:06.676 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.id: id_order
16:04:06.688 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.id: id_order
16:04:06.765 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //textarea[@id='message']
16:04:06.787 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //textarea[@id='message']
16:04:06.897 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.name: submitMessage
16:04:06.908 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.name: submitMessage
16:04:06.908 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> name: submitMessage]
16:04:08.609 [main] INFO  oct1_log4jframework.LogfileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> name: submitMessage]
16:04:08.613 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //li[contains(text(),'Invalid email address.')]
16:04:08.632 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //li[contains(text(),'Invalid email address.')]
16:04:08.653 [main] INFO  oct1_log4jframework.LogfileImpl - ContactUsTest004 PASS
16:04:08.654 [main] INFO  oct1_log4jframework.LogfileImpl - Test Successfully Finished : ContactUsTest004
16:04:08.658 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:04:08.673 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:04:08.673 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
16:04:10.183 [main] INFO  oct1_log4jframework.LogfileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
16:04:13.350 [main] INFO  oct1_log4jframework.LogfileImpl - New Test Started : ContactUsTest005
16:04:13.351 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:04:13.369 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:04:13.369 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
